transaction_id,timestamp,user_id,merchant,amount,description,category,pattern_label
8bd1f378-2d01-41b8-93e3-22faa1b44f92,2023-01-01 00:00:00,user_206,ZombieGym,29.99,Monthly Gym,Health,normal
0cec1d67-4c2a-46d8-817b-24f87d562a62,2023-01-01 00:00:00,user_192,StreamPlus,12.0,Streaming Plan,Entertainment,normal
c86e2fc2-b6cf-471b-abef-facd9e14820a,2023-01-01 00:00:00,user_192,ZombieGym,29.99,Monthly Gym,Health,normal
d1b7b9d7-bbb3-43c7-a747-ed2193eb6623,2023-01-01 00:00:00,user_194,ZombieGym,29.99,Monthly Gym,Health,normal
6c19a69b-9745-4278-a8d7-adbe0b305220,2023-01-01 00:00:00,user_121,ZombieGym,29.99,Monthly Gym,Health,normal
9b9aa6c5-687c-45d9-ace9-3d21cf70ce39,2023-01-01 00:00:00,user_169,ZombieGym,29.99,Monthly Gym,Health,normal
06e96b77-899e-4724-8599-76b201a3a6ee,2023-01-01 00:00:00,user_196,OldBank,200.0,Opening Deposit,Finance,normal
e16ce7cd-a128-47e0-a4b6-0a8619f7a48e,2023-01-01 00:00:00,user_198,ZombieGym,29.99,Monthly Gym,Health,normal
81e47897-4ee7-4e49-bba3-01a2a04bcf82,2023-01-01 00:00:00,user_224,ZombieGym,29.99,Monthly Gym,Health,normal
2077d1ef-0f3a-4b12-bc69-e127140cff46,2023-01-01 00:00:00,user_168,ZombieGym,29.99,Monthly Gym,Health,normal
7909571a-7eb8-4a89-8a4e-6c541b5cd96d,2023-01-01 00:00:00,user_150,ZombieGym,29.99,Monthly Gym,Health,normal
43ebd062-f4fd-41e1-b718-3ff2ed480bda,2023-01-01 00:00:00,user_287,ZombieGym,29.99,Monthly Gym,Health,normal
c142b47a-42fd-4c70-92af-ce8ed85aea29,2023-01-01 00:00:00,user_283,ZombieGym,29.99,Monthly Gym,Health,normal
3a5ce082-64d8-470d-ac5d-c721eb6ea2be,2023-01-01 00:00:00,user_000,ZombieGym,29.99,Monthly Gym,Health,normal
216ab1d7-b5ce-48f4-8a65-83e8092b6989,2023-01-01 00:00:00,user_252,ZombieGym,29.99,Monthly Gym,Health,normal
cb081203-7dc1-4002-8a9b-2bf78d930b5f,2023-01-01 00:00:00,user_155,ZombieGym,29.99,Monthly Gym,Health,normal
956b8dd9-b48b-4a0c-857e-d6cf60e3ffcf,2023-01-01 00:00:00,user_091,ZombieGym,29.99,Monthly Gym,Health,normal
a7c9c054-4d5c-4ac8-a7cc-51786d5fa767,2023-01-01 00:00:00,user_281,ZombieGym,29.99,Monthly Gym,Health,normal
e8ea2f66-c53f-4329-a602-ca70c7f98f8b,2023-01-01 00:00:00,user_166,ZombieGym,29.99,Monthly Gym,Health,normal
f990c72e-85f1-4f5a-a912-ebfa9632ce04,2023-01-01 00:00:00,user_088,ZombieGym,29.99,Monthly Gym,Health,normal
4d2c6c1d-136f-4346-8161-e68150c3eaf3,2023-01-01 00:00:00,user_086,ZombieGym,29.99,Monthly Gym,Health,normal
